array1;array2;array3;array4;array5;array6;array7;array8;array9;array10;array11;array12;array13;array14;array15;array16;array17;array18;array19;array20;array21;array22;array23;array24;array25;array26;array27;array28;array29;array30;item;categorie;supercategorie
schachtel;brille;auto;lkw;safe;regal;pelzmantel;sense;sakko;daunenweste;brokkoli;schaufel;tasse;birne;cd;trauben;apfel;kanne;gurke;daunenweste;sakko;sakko;saege;arztkittel;pferd;reh;kaefig;orchidee;lippenstift;reh;hai;Fische;Tiere
steckdose;regal;spaghetti;rochen;steckdose;ball;paprika;briefmarke;brokkoli;besen;arztkittel;muelleimer;birne;tasse;schornstein;spinne;glocke;banane;kopfkissen;schornstein;besen;sense;luftballon;gurke;geige;teppich;tulpe;klavier;loewenzahn;parfum;aal;Fische;Tiere
delfin;goldfisch;hai;safe;hai;lkw;schaufel;paprika;baby;tafel;streichholz;paprika;mikrofon;streichholz;glas;flasche;marienkaefer;fliege;arztkittel;saege;muelleimer;ampel;paprika;axt;rose;muelleimer;kamel;cd;kuh;loewenzahn;rochen;Fische;Tiere
bus;auto;bus;motorrad;motorrad;aal;sakko;pelzmantel;sense;kartoffel;saege;kapuzenpulli;spinne;spinne;birne;apfel;glas;tasse;sense;sakko;streichholz;arztkittel;sakko;kapuzenpulli;muelleimer;pferd;harfe;kamel;pinsel;klavier;goldfisch;Fische;Tiere
safe;kopfhoerer;mikrofon;delfin;kassette;luftballon;kartoffel;schaufel;parfum;sakko;schwert;waage;banane;kanne;ameise;marienkaefer;banane;kopfhoerer;lippenstift;kartoffel;axt;kartoffel;muelleimer;kartoffel;harfe;rose;sonnenblume;harfe;klavier;kopfkissen;delfin;Fische;Tiere
kassette;kleiderschrank;regal;regal;aal;schublade;besen;kaefig;pelzmantel;cd;cd;saege;schwamm;apfel;becher;fenster;ameise;spinne;kapuzenpulli;sense;gurke;axt;gurke;ball;kamel;harfe;lippenstift;badewanne;tulpe;briefkasten;auto;Strasse;Fortbewegungsmittel
goldfisch;lkw;kutsche;kutsche;schublade;rochen;steckdose;daunenweste;faecher;karotte;besen;daunenweste;biene;ball;banane;kirsche;becher;birne;saege;ampel;fenster;kapuzenpulli;arztkittel;sakko;sonnenblume;kuh;schlagzeug;schaf;badewanne;rose;bus;Strasse;Fortbewegungsmittel
waage;schwamm;aal;hai;auto;motorrad;kapuzenpulli;saege;schaufel;sense;brille;streichholz;apfel;marienkaefer;spinne;fliege;muelleimer;briefmarke;paprika;parfum;pelzmantel;karotte;besen;saege;waage;tulpe;schaf;sonnenblume;harfe;pferd;lkw;Strasse;Fortbewegungsmittel
fernglas;schachtel;safe;kleiderschrank;goldfisch;baby;saege;ball;arztkittel;pfeife;gurke;brokkoli;flasche;banane;tasse;kanne;spinne;marienkaefer;daunenweste;schaufel;brokkoli;schaufel;brokkoli;mikrofon;gitarre;gitarre;glocke;ventilator;pferd;wuerfel;motorrad;Strasse;Fortbewegungsmittel
kutsche;muelleimer;pinsel;auto;schachtel;goldfisch;karotte;ventilator;gurke;kapuzenpulli;axt;sense;fliege;glas;ventilator;birne;birne;apfel;axt;brokkoli;saege;muelleimer;spaghetti;daunenweste;kamera;schluessel;gitarre;reh;baby;schlagzeug;kutsche;Strasse;Fortbewegungsmittel
rochen;delfin;motorrad;kerze;lkw;safe;kamera;kartoffel;briefkasten;schaufel;daunenweste;briefmarke;schluessel;fliege;muelleimer;ameise;brille;puppe;kassette;pfeife;arztkittel;paprika;lippenstift;sense;streichholz;tafel;reh;loewenzahn;geige;kamel;schublade;Aufbewahrung;Moebel
streichholz;bus;kleiderschrank;schublade;rochen;auto;axt;besen;daunenweste;schluessel;karotte;kartoffel;glas;badewanne;kirsche;zigarette;biene;ameise;pelzmantel;pelzmantel;karotte;fernglas;sense;brokkoli;loewenzahn;geige;briefkasten;parfum;kamel;orchidee;regal;Aufbewahrung;Moebel
auto;lippenstift;delfin;wuerfel;schornstein;faecher;daunenweste;sakko;paprika;brokkoli;fernglas;pelzmantel;marienkaefer;kirsche;kanne;banane;tasse;becher;kartoffel;besen;wuerfel;saege;pelzmantel;pelzmantel;klavier;sonnenblume;klavier;lippenstift;rose;geige;kleiderschrank;Aufbewahrung;Moebel
kleiderschrank;hai;lkw;pinsel;bus;kleiderschrank;brokkoli;karotte;axt;saege;sakko;steckdose;baby;ameise;marienkaefer;becher;kopfkissen;wuerfel;schwert;paprika;schaufel;pelzmantel;kartoffel;besen;reh;kamel;loewenzahn;geige;schlagzeug;zigarette;safe;Aufbewahrung;Moebel
aal;kutsche;schublade;schachtel;delfin;bus;sense;fernglas;badewanne;wuerfel;paprika;besen;kanne;ampel;apfel;kerze;trauben;trauben;sakko;arztkittel;paprika;streichholz;schaufel;tafel;orchidee;klavier;pferd;tulpe;schaf;schaf;schachtel;Aufbewahrung;Moebel
