array1;array2;array3;array4;array5;array6;array7;array8;array9;array10;array11;array12;array13;array14;array15;array16;array17;array18;array19;array20;array21;array22;array23;array24;array25;array26;array27;array28;array29;array30;item;categorie;supercategorie
schachtel;brille;auto;lkw;safe;regal;pelzmantel;sense;sakko;daunenweste;brokkoli;schaufel;tasse;birne;cd;trauben;apfel;kanne;gurke;daunenweste;sakko;sakko;säge;arztkittel;pferd;reh;käfig;orchidee;lippenstift;reh;hai;Fische;Tiere
steckdose;regal;spaghetti;rochen;steckdose;ball;paprika;briefmarke;brokkoli;besen;arztkittel;mülleimer;birne;tasse;schornstein;spinne;glocke;banane;kopfkissen;schornstein;besen;sense;luftballon;gurke;geige;teppich;tulpe;klavier;löwenzahn;parfum;aal;Fische;Tiere
delfin;goldfisch;hai;safe;hai;lkw;schaufel;paprika;baby;tafel;streichholz;paprika;mikrofon;streichholz;glas;flasche;marienkäfer;fliege;arztkittel;säge;mülleimer;ampel;paprika;axt;rose;mülleimer;kamel;cd;kuh;löwenzahn;rochen;Fische;Tiere
bus;auto;bus;motorrad;motorrad;aal;sakko;pelzmantel;sense;kartoffel;säge;kapuzenpulli;spinne;spinne;birne;apfel;glas;tasse;sense;sakko;streichholz;arztkittel;sakko;kapuzenpulli;mülleimer;pferd;harfe;kamel;pinsel;klavier;goldfisch;Fische;Tiere
safe;kopfhörer;mikrofon;delfin;kassette;luftballon;kartoffel;schaufel;parfum;sakko;schwert;waage;banane;kanne;ameise;marienkäfer;banane;kopfhörer;lippenstift;kartoffel;axt;kartoffel;mülleimer;kartoffel;harfe;rose;sonnenblume;harfe;klavier;kopfkissen;delfin;Fische;Tiere
kassette;kleiderschrank;regal;regal;aal;schublade;besen;käfig;pelzmantel;cd;cd;säge;schwamm;apfel;becher;fenster;ameise;spinne;kapuzenpulli;sense;gurke;axt;gurke;ball;kamel;harfe;lippenstift;badewanne;tulpe;briefkasten;auto;Strasse;Fortbewegungsmittel
goldfisch;lkw;kutsche;kutsche;schublade;rochen;steckdose;daunenweste;fächer;karotte;besen;daunenweste;biene;ball;banane;kirsche;becher;birne;säge;ampel;fenster;kapuzenpulli;arztkittel;sakko;sonnenblume;kuh;schlagzeug;schaf;badewanne;rose;bus;Strasse;Fortbewegungsmittel
waage;schwamm;aal;hai;auto;motorrad;kapuzenpulli;säge;schaufel;sense;brille;streichholz;apfel;marienkäfer;spinne;fliege;mülleimer;briefmarke;paprika;parfum;pelzmantel;karotte;besen;säge;waage;tulpe;schaf;sonnenblume;harfe;pferd;lkw;Strasse;Fortbewegungsmittel
fernglas;schachtel;safe;kleiderschrank;goldfisch;baby;säge;ball;arztkittel;pfeife;gurke;brokkoli;flasche;banane;tasse;kanne;spinne;marienkäfer;daunenweste;schaufel;brokkoli;schaufel;brokkoli;mikrofon;gitarre;gitarre;glocke;ventilator;pferd;würfel;motorrad;Strasse;Fortbewegungsmittel
kutsche;mülleimer;pinsel;auto;schachtel;goldfisch;karotte;ventilator;gurke;kapuzenpulli;axt;sense;fliege;glas;ventilator;birne;birne;apfel;axt;brokkoli;säge;mülleimer;spaghetti;daunenweste;kamera;schlüssel;gitarre;reh;baby;schlagzeug;kutsche;Strasse;Fortbewegungsmittel
rochen;delfin;motorrad;kerze;lkw;safe;kamera;kartoffel;briefkasten;schaufel;daunenweste;briefmarke;schlüssel;fliege;mülleimer;ameise;brille;puppe;kassette;pfeife;arztkittel;paprika;lippenstift;sense;streichholz;tafel;reh;löwenzahn;geige;kamel;schublade;Aufbewahrung;Möbel
streichholz;bus;kleiderschrank;schublade;rochen;auto;axt;besen;daunenweste;schlüssel;karotte;kartoffel;glas;badewanne;kirsche;zigarette;biene;ameise;pelzmantel;pelzmantel;karotte;fernglas;sense;brokkoli;löwenzahn;geige;briefkasten;parfum;kamel;orchidee;regal;Aufbewahrung;Möbel
auto;lippenstift;delfin;würfel;schornstein;fächer;daunenweste;sakko;paprika;brokkoli;fernglas;pelzmantel;marienkäfer;kirsche;kanne;banane;tasse;becher;kartoffel;besen;würfel;säge;pelzmantel;pelzmantel;klavier;sonnenblume;klavier;lippenstift;rose;geige;kleiderschrank;Aufbewahrung;Möbel
kleiderschrank;hai;lkw;pinsel;bus;kleiderschrank;brokkoli;karotte;axt;säge;sakko;steckdose;baby;ameise;marienkäfer;becher;kopfkissen;würfel;schwert;paprika;schaufel;pelzmantel;kartoffel;besen;reh;kamel;löwenzahn;geige;schlagzeug;zigarette;safe;Aufbewahrung;Möbel
aal;kutsche;schublade;schachtel;delfin;bus;sense;fernglas;badewanne;würfel;paprika;besen;kanne;ampel;apfel;kerze;trauben;trauben;sakko;arztkittel;paprika;streichholz;schaufel;tafel;orchidee;klavier;pferd;tulpe;schaf;schaf;schachtel;Aufbewahrung;Möbel
lkw;schublade;rochen;goldfisch;briefkasten;delfin;tafel;kapuzenpulli;karotte;pelzmantel;sense;sakko;kamera;würfel;flasche;biene;fliege;flasche;brokkoli;kopfhörer;lippenstift;brokkoli;daunenweste;karotte;schlagzeug;löwenzahn;geige;kuh;sonnenblume;tulpe;sakko;Jacken;Kleidung
