"","subject","trial","item","category","supercategory","PosOr","answercode","correct","correct_manual","answer_auto_jaro","correct_auto_jaro","word","word.c","letters.01","timing.01"
"1",1,1,"arztkittel","Jacken","Kleidung",1,"correct","1",1,"correct",1,"ARZTKITTELEnter","ARZTKITTEL","A",1436
"2",1,2,"gurke","Gemüse","Lebensmittel",1,"correct","1",1,"correct",1,"GURKEEnter","GURKE","G",903
"3",1,3,"axt","Bauernhof","Werkzeug",1,"almostcorrect","1",1,"correctedtocorrect",1,"AXRBackspaceTEnter","AXT","A",1271
"4",1,4,"kapuzenpulli","Jacken","Kleidung",2,"correct","1",1,"correct",1,"KAPUZENPULLIEnter","KAPUZENPULLI","K",1872
"5",1,5,"kartoffel","Gemüse","Lebensmittel",2,"correct","1",1,"correct",1,"KARTOFFELEnter","KARTOFFEL","K",1263
"6",1,6,"ball","Filler","Filler",1,"almostcorrect","1",1,"correctedtocorrect",1,"BAÖLBackspaceBackspaceLLEnter","BALL","B",925
"7",1,7,"sakko","Jacken","Kleidung",3,"correct","1",1,"correct",1,"SAKKOEnter","SAKKO","S",2205
"8",1,8,"säge","Bauernhof","Werkzeug",2,"correct","1",1,"correct",1,"SÄGEEnter","SÄGE","S",1338
"9",1,9,"mikrofon","Filler","Filler",2,"correct","1",1,"correct",1,"MIKROFONEnter","MIKROFON","M",952
"10",1,10,"daunenweste","Jacken","Kleidung",4,"almostcorrect","1",1,"alternative_corrected",1,"WESTEEnter","WESTE","W",1751
"11",1,11,"sense","Bauernhof","Werkzeug",3,"correct","1",1,"correct",1,"SENSEEnter","SENSE","S",1241
"12",1,12,"brokkoli","Gemüse","Lebensmittel",3,"correct","1",1,"correct",1,"BROKKOLIEnter","BROKKOLI","B",927
"13",1,13,"pelzmantel","Jacken","Kleidung",5,"correct","1",1,"correct",1,"PELZMANTELEnter","PELZMANTEL","P",2347
"14",1,14,"besen","Bauernhof","Werkzeug",4,"correct","1",1,"correct",1,"BESENEnter","BESEN","B",963
"15",1,15,"tafel","Filler","Filler",3,"almostcorrect","1",1,"correctedtocorrect",1,"TAFEBackspaceELEnter","TAFEL","T",1170
"16",1,16,"karotte","Gemüse","Lebensmittel",4,"correct","1",1,"correct",1,"KAROTTEEnter","KAROTTE","K",950
