item;word;answercode;category
kleiderschrank;SCHABackspaceRANK ;almostcorrect;Aufbewahrung
kleiderschrank;SCHARNKEnter;almostcorrect;Aufbewahrung
kleiderschrank;SCHRANK ;almostcorrect;Aufbewahrung
kleiderschrank;SCHRANKEnter;almostcorrect;Aufbewahrung
kleiderschrank;schranlBackspacek ;almostcorrect;Aufbewahrung
kleiderschrank;SHCRBackspaceBackspaceBackspaceCHRANKEnter;almostcorrect;Aufbewahrung
kleiderschrank;KLEIDERSCHRANK ;correct;Aufbewahrung
kleiderschrank;KLEIDERSCHRANKEnter;correct;Aufbewahrung
kleiderschrank;PFHÖRERBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceBackspaceSCHRANKEnter;first_letter_incorrect;Aufbewahrung
kleiderschrank;;isna;Aufbewahrung
kleiderschrank;regal ;semantic_relation;Aufbewahrung
kleiderschrank;REGALEnter;semantic_relation;Aufbewahrung
regal;REBackspaceEGAL ;almostcorrect;Aufbewahrung
regal;SCHRANK ;semantic_relation;Aufbewahrung
regal;SCHRANKEnter;semantic_relation;Aufbewahrung
regal;REGAL ;correct;Aufbewahrung
regal;REGALEnter;correct;Aufbewahrung
regal;TEGALEnter;first_letter_incorrect;Aufbewahrung
safe;SAGE ;almostcorrect;Aufbewahrung
safe;SAGFEBackspaceBackspaceFBackspaceBackspaceFE ;almostcorrect;Aufbewahrung
safe;SBackspaceTBackspaceSBackspaceTRBackspaceBackspaceSFAEBackspaceBackspaceBackspaceAFDEBackspaceBackspaceE ;unrelated_other;Aufbewahrung
safe;teBackspaceresor ;almostcorrect;Aufbewahrung
safe;TRESOREnter;almostcorrect;Aufbewahrung
safe;SAFE ;correct;Aufbewahrung
safe;SAFEEnter;correct;Aufbewahrung
safe;EnterEnter;unrelated_other;Aufbewahrung
safe;ASBackspaceBackspaceSAFE ;first_letter_incorrect;Aufbewahrung
schachtel;BOX ;almostcorrect;Aufbewahrung
schachtel;BOXENEnter;almostcorrect;Aufbewahrung
schachtel;BOXEnter;almostcorrect;Aufbewahrung
schachtel;KARTONEnter;almostcorrect;Aufbewahrung
schachtel;KISTE ;almostcorrect;Aufbewahrung
schachtel;KISTEEnter;almostcorrect;Aufbewahrung
schachtel;SCHACTBackspaceHTELEnter;almostcorrect;Aufbewahrung
schachtel;SCHACHTEL ;correct;Aufbewahrung
schachtel;SCHACHTELEnter;correct;Aufbewahrung
schachtel;BBackspaceSCHUHBOXEnter;first_letter_incorrect;Aufbewahrung
schublade;KISTE ;semantic_relation;Aufbewahrung
schublade;schblade ;almostcorrect;Aufbewahrung
schublade;SCHRANKEnter;semantic_relation;Aufbewahrung
schublade;SCHUBABackspaceABackspaceLADEEnter;almostcorrect;Aufbewahrung
schublade;SCHUBLADE ;correct;Aufbewahrung
schublade;SCHUBLADEEnter;correct;Aufbewahrung
schublade;BBackspaceSCHUBLADEEnter;first_letter_incorrect;Aufbewahrung
schublade;;isna;Aufbewahrung
schublade;SCHUBEnter;unrelated_other;Aufbewahrung
axt;ACBackspaceXTEnter;almostcorrect;Bauernhof
axt;AKBackspaceXTXBackspaceBackspaceTEnter;almostcorrect;Bauernhof
axt;AXEnter;almostcorrect;Bauernhof
axt;AXRBackspaceTEnter;almostcorrect;Bauernhof
axt;AXTRBackspaceEnter;almostcorrect;Bauernhof
axt;AXT ;correct;Bauernhof
axt;AXTEnter;correct;Bauernhof
axt;hBackspaceaxtEnter;first_letter_incorrect;Bauernhof
axt;TBackspaceAXREnter;first_letter_incorrect;Bauernhof
axt;;isna;Bauernhof
besen; BESEN ;backspace_space_enter;Bauernhof
besen;BESEN ;correct;Bauernhof
besen;BESENEnter;correct;Bauernhof
besen;EBackspaceBESENEnter;first_letter_incorrect;Bauernhof
besen;VESBackspaceBackspaceBackspaceBESENEnter;first_letter_incorrect;Bauernhof
besen;;isna;Bauernhof
besen;SBackspaceBESENEnter;first_letter_incorrect;Bauernhof
säge; SÄGE ;backspace_space_enter;Bauernhof
säge;SÄGE ;correct;Bauernhof
säge;SÄGEEnter;correct;Bauernhof
säge;;isna;Bauernhof
säge;L ;unrelated_other;Bauernhof
schaufel;SPATEN ;almostcorrect;Bauernhof
schaufel;SCHAUFEL ;correct;Bauernhof
schaufel;SCHAUFELEnter;correct;Bauernhof
schaufel;;isna;Bauernhof
sense;SENESBackspaceBackspaceSEEnter;almostcorrect;Bauernhof
sense;SICHELEnter;almostcorrect;Bauernhof
sense;BackspaceULLIBackspaceBackspaceBackspaceBackspaceBackspaceSENSEEnter;backspace_space_enter;Bauernhof
sense;SENSE ;correct;Bauernhof
sense;SENSEEnter;correct;Bauernhof
sense;sBackspaceBackspacesenseEnter;first_letter_incorrect;Bauernhof
sense;STOCKEnter;semantic_relation;Bauernhof
sense;'Enter;unrelated_other;Bauernhof
biene;BEIBackspaceBackspaceIENEEnter;almostcorrect;Biene
biene;BIENE ;correct;Biene
biene;BIENEEnter;correct;Biene
biene;MEBackspaceBackspaceBIENE ;first_letter_incorrect;Biene
biene;OOEnter;unrelated_other;Biene
löwenzahn;LÄBackspaceÖWENZAHLBackspaceNEnter;almostcorrect;Blumen
löwenzahn;LÄBackspaceÖWENZAHN ;almostcorrect;Blumen
löwenzahn;LÖWENZANBackspaceHNEnter;almostcorrect;Blumen
löwenzahn;LÖWENZAHN ;correct;Blumen
löwenzahn;LÖWENZAHNEnter;correct;Blumen
löwenzahn;ÖBackspaceLÖWENZAHNEnter;first_letter_incorrect;Blumen
löwenzahn;;isna;Blumen
löwenzahn;BLUME ;semantic_relation;Blumen
löwenzahn;BLUMEEnter;semantic_relation;Blumen
löwenzahn;BULBackspaceBackspaceLUME ;semantic_relation;Blumen
löwenzahn;SONNENBLUMEEnter;semantic_relation;Blumen
löwenzahn;ShiftlÖWENZAHNEnter;shift_start;Blumen
löwenzahn;LÖWENAZBackspaceBackspaceZAHNEnter;almostcorrect;Blumen
orchidee;ORIBackspaceCHIDEE ;almostcorrect;Blumen
orchidee;BLUBackspaceBackspaceBackspaceVEILCHENEnter;semantic_relation;Blumen
orchidee;ORCHIDEE ;correct;Blumen
